Knot (149.851974, 72.972435) -> Cluster 1
Knot (144.832825, 89.101318) -> Cluster 1
Knot (134.769547, 82.095604) -> Cluster 1
Knot (160.212540, 74.597046) -> Cluster 1
Knot (151.074295, 101.009743) -> Cluster 1
Knot (160.956909, 62.285465) -> Cluster 1
Knot (132.246475, 101.787491) -> Cluster 1
Knot (121.402771, 100.087883) -> Cluster 2
Knot (164.478363, 96.075569) -> Cluster 1
Knot (109.182205, 85.157608) -> Cluster 2
Knot (169.342819, 70.308060) -> Cluster 1
Knot (123.379379, 86.674477) -> Cluster 2
Knot (161.994446, 106.288094) -> Cluster 1
Knot (92.285614, 87.527374) -> Cluster 2
Knot (145.754883, 61.290794) -> Cluster 1
Knot (155.012085, 86.547447) -> Cluster 1
Knot (182.363983, 92.159592) -> Cluster 1
Knot (182.073059, 71.799767) -> Cluster 1
Knot (129.364395, 57.684685) -> Cluster 1
Knot (153.250946, 53.676476) -> Cluster 1
Knot (175.064697, 81.642166) -> Cluster 1
Knot (141.006317, 42.094036) -> Cluster 0
Knot (135.655075, 66.817078) -> Cluster 1
Knot (173.968369, 106.007774) -> Cluster 1
Knot (183.736420, 53.670712) -> Cluster 1
Knot (125.506500, 67.218071) -> Cluster 2
Knot (186.695801, 41.494713) -> Cluster 3
Knot (153.508163, 42.502609) -> Cluster 1
Knot (171.898560, 38.523293) -> Cluster 3
Knot (172.298203, 58.224232) -> Cluster 1
Knot (149.771439, 25.013958) -> Cluster 0
Knot (165.223709, 84.429588) -> Cluster 1
Knot (121.712166, 76.615852) -> Cluster 2
Knot (158.937119, 31.524185) -> Cluster 3
Knot (106.862602, 95.311241) -> Cluster 2
Knot (162.504517, 47.580330) -> Cluster 1
Knot (181.805374, 30.962301) -> Cluster 3
Knot (131.780594, 33.578735) -> Cluster 0
Knot (118.470825, 59.141670) -> Cluster 2
Knot (171.565582, 27.001011) -> Cluster 3
Knot (106.372818, 72.640907) -> Cluster 2
Knot (110.139359, 53.331730) -> Cluster 2
Knot (122.068695, 25.092354) -> Cluster 0
Knot (122.030678, 39.781185) -> Cluster 0
Knot (165.966248, 8.493834) -> Cluster 3
Knot (162.265366, 20.015148) -> Cluster 3
Knot (151.032776, 7.652281) -> Cluster 0
Knot (185.587509, 102.072037) -> Cluster 1
Knot (111.939339, 30.796928) -> Cluster 0
Knot (88.714149, 71.639221) -> Cluster 2
Knot (132.977448, 7.147625) -> Cluster 0
Knot (189.795395, 84.063011) -> Cluster 1
Knot (190.497498, 64.340073) -> Cluster 1
Knot (138.408936, 18.999958) -> Cluster 0
Knot (77.670990, 87.313957) -> Cluster 2
Knot (127.296967, 15.441248) -> Cluster 0
Knot (74.251427, 77.426849) -> Cluster 2
Knot (58.150078, 72.540215) -> Cluster 2
Knot (83.900162, 53.024387) -> Cluster 2
Knot (110.174881, 18.362871) -> Cluster 0
Knot (131.194626, 45.387402) -> Cluster 0
Knot (90.693504, 61.665569) -> Cluster 2
Knot (99.524071, 29.093187) -> Cluster 0
Knot (104.223053, 44.920963) -> Cluster 0
Knot (101.019020, 60.936192) -> Cluster 2
Knot (140.862061, 0.126335) -> Cluster 0
Knot (122.254143, 5.516514) -> Cluster 0
Knot (109.283478, 105.049042) -> Cluster 2
Knot (59.607635, 88.249504) -> Cluster 2
Knot (66.507408, 95.913734) -> Cluster 2
Knot (94.227882, 107.932152) -> Cluster 2
Knot (99.285980, 10.776820) -> Cluster 0
Knot (93.181206, 43.550842) -> Cluster 0
Knot (174.879105, 15.094445) -> Cluster 3
Knot (79.244476, 68.424492) -> Cluster 2
Knot (105.228951, 1.406506) -> Cluster 0
Knot (69.624855, 62.023724) -> Cluster 2
Knot (85.653732, 0.156989) -> Cluster 0
Knot (140.638046, 52.548557) -> Cluster 1
Knot (48.525982, 104.327988) -> Cluster 3
Knot (89.140915, 26.250305) -> Cluster 0
Knot (96.927780, 78.039162) -> Cluster 2
Knot (76.700012, 19.665115) -> Cluster 0
Knot (85.657074, 14.868241) -> Cluster 0
Knot (60.381153, 56.931377) -> Cluster 2
Knot (45.564064, 52.338570) -> Cluster 3
Knot (29.021996, 107.413742) -> Cluster 3
Knot (50.852821, 80.205856) -> Cluster 3
Knot (40.359482, 89.614929) -> Cluster 3
Knot (19.430811, 94.843803) -> Cluster 3
Knot (81.330185, 38.148769) -> Cluster 0
Knot (10.916655, 100.264542) -> Cluster 3
Knot (50.943398, 62.757317) -> Cluster 3
Knot (185.503815, 21.649609) -> Cluster 3
Knot (2.052630, 90.444473) -> Cluster 3
Knot (191.789581, 5.541557) -> Cluster 3
Knot (68.269241, 38.466373) -> Cluster 0
Knot (39.243435, 66.139458) -> Cluster 3
Knot (191.874634, 30.372095) -> Cluster 3
Knot (63.516438, 107.828453) -> Cluster 2
Knot (76.157410, 101.600800) -> Cluster 2
Knot (71.740868, 52.126171) -> Cluster 2
Knot (29.901514, 96.105652) -> Cluster 3
Knot (72.451889, 29.186396) -> Cluster 0
Knot (27.183323, 83.265930) -> Cluster 3
Knot (178.084396, 4.415167) -> Cluster 3
Knot (43.064266, 39.012558) -> Cluster 3
Knot (58.279694, 39.615128) -> Cluster 0
Knot (38.222557, 102.380127) -> Cluster 3
Knot (74.899452, 8.189198) -> Cluster 0
Knot (60.635761, 22.420328) -> Cluster 0
Knot (25.719389, 54.284843) -> Cluster 3
Knot (14.654568, 84.267685) -> Cluster 3
Knot (66.417686, 14.044865) -> Cluster 0
Knot (61.323082, 3.149436) -> Cluster 0
Knot (1.335441, 75.518692) -> Cluster 3
Knot (89.736740, 98.401131) -> Cluster 2
Knot (3.175172, 107.422142) -> Cluster 3
Knot (50.109661, 92.014503) -> Cluster 3
Knot (47.056553, 25.355446) -> Cluster 3
Knot (32.639885, 35.243450) -> Cluster 3
Knot (15.977558, 73.183723) -> Cluster 3
Knot (24.522917, 43.104401) -> Cluster 3
Knot (30.068699, 72.799042) -> Cluster 3
Knot (52.924938, 13.926788) -> Cluster 0
Knot (21.460403, 29.823626) -> Cluster 3
Knot (39.166012, 77.572052) -> Cluster 3
Knot (34.354424, 46.104988) -> Cluster 3
Knot (36.434658, 18.450157) -> Cluster 3
Knot (5.871029, 53.138893) -> Cluster 3
Knot (10.310843, 62.513176) -> Cluster 3
Knot (9.493879, 38.008705) -> Cluster 3
Knot (44.850868, 7.108815) -> Cluster 3
Knot (21.267679, 64.375885) -> Cluster 3
Knot (1.501911, 27.106234) -> Cluster 3
Knot (25.242325, 19.467106) -> Cluster 3
Knot (15.363339, 21.333427) -> Cluster 3
Knot (23.952522, 8.931872) -> Cluster 3
Knot (33.606045, 2.161278) -> Cluster 3
Knot (12.989467, 10.136292) -> Cluster 3
Knot (3.411888, 5.486964) -> Cluster 3
Knot (3.238006, 16.573446) -> Cluster 3
